work_id,title,publication_year,citations_2002,mean_citations_2007_2009,change
https://openalex.org/W1524056198,What Experimental Protocol Influence Disparities Between Actual and Hypothetical Stated Values?,2001,1,33.333333333333336,32.333333333333336
https://openalex.org/W2102907642,Gender differences in revealed risk taking: evidence from mutual fund investors,2002,0,14.0,14.0
https://openalex.org/W2023672597,"Bureaucratic corruption, environmental policy and inbound US FDI: theory and evidence",2002,0,11.333333333333334,11.333333333333334
https://openalex.org/W2054357326,The environmental Kuznets curve: does one size fit all?,1999,7,18.0,11.0
https://openalex.org/W2167086923,Environmental Regulations and New Plant Location Decisions: Evidence from a Meta‐Analysis,2002,1,11.0,10.0
https://openalex.org/W2106264727,Calibration of the difference between actual and hypothetical valuations in a field experiment,1998,5,10.333333333333334,5.333333333333334
https://openalex.org/W2091788384,US county-level determinants of inbound FDI: evidence from a two-step modified count data model,2001,5,9.0,4.0
https://openalex.org/W2076323962,Calibration of Willingness-to-Accept,2002,1,3.6666666666666665,2.6666666666666665
https://openalex.org/W3122417694,"Measuring the effects of air quality regulations on ""dirty"" firm births: Evidence from the neo- and mature-regulatory periods",2000,0,1.6666666666666667,1.6666666666666667
https://openalex.org/W1593695196,The hidden costs and returns of incentives: trust and trustworthiness among CEOs,2002,0,1.3333333333333333,1.3333333333333333
https://openalex.org/W1999768633,Have Air Pollutant Emissions Converged among U. S. Regions? Evidence from Unit Root Tests,1999,3,4.333333333333333,1.333333333333333
https://openalex.org/W2071301228,Measuring the effects of air quality regulations on “dirty” firm births: Evidence from the neo‐and mature‐regulatory periods,2000,3,4.0,1.0
https://openalex.org/W3124708206,DO PROFESSIONAL TRADERS EXHIBIT MYOPIC LOSS AVERSION? AN EXPERIMENTAL ANALYSIS,2002,0,1.0,1.0
https://openalex.org/W3124734430,Environmental Regulations and New Plant Location Decisions: Evidence from a Meta-Analysis,2002,0,1.0,1.0
https://openalex.org/W2141608495,Evidence of Early Withdrawal in Time Deposit Portfolios,1999,0,1.0,1.0
https://openalex.org/W1988389881,A method for valuing global ecosystem services,1998,0,0.6666666666666666,0.6666666666666666
https://openalex.org/W2015907439,Market share instability: an application of unit root tests to the cigarette industry,2001,0,0.6666666666666666,0.6666666666666666
https://openalex.org/W3125844915,Optimal Institutional Arrangements for Transboundary Pollutants in a Second-Best World: Evidence from a Differential Game with Asymmetric Players,2001,3,3.6666666666666665,0.6666666666666665
https://openalex.org/W2008093791,Spatial aspects of pollution control when pollutants have synergistic effects: Evidence from a differential game with asymmetric information,1999,0,0.3333333333333333,0.3333333333333333
https://openalex.org/W1608804795,CLOSING THE BARN DOOR: CONSTRUCTION AND ENDANGERED SPECIES RESTRICTIONS,2002,0,0.3333333333333333,0.3333333333333333
https://openalex.org/W1564475168,Average Derivative Estimation of Hedonic Price Models,2000,0,0.3333333333333333,0.3333333333333333
https://openalex.org/W3124687934,Interview Scheduling Strategies of New Ph. D. Economists,2000,0,0.0,0.0
https://openalex.org/W1488413900,“Beggar thy Neighbor:” Testing for Free Riding in State-Level Endangered Species Expenditures,2002,0,0.0,0.0
https://openalex.org/W3125546781,Gender Differences In Revealed Risk Taking: Evidence From Mutual Fund Investors,2002,0,0.0,0.0
https://openalex.org/W1593229184,Testing neoclassical competitive market theory in the field: Some pilot results,2002,0,0.0,0.0
https://openalex.org/W3125894956,The Effects of Environmental Regulations on Foreign Direct Investment,2000,0,0.0,0.0
https://openalex.org/W3122453223,Recent Advances in Environmental Economics,2002,0,0.0,0.0
https://openalex.org/W3123109464,Do explicit warnings eliminate the hypothetical bias in elicitation procedures? Evidence from field auctions for sportscards,2001,0,0.0,0.0
https://openalex.org/W1963684536,Industry chasing and the tax effect: a question of approach,1998,0,0.0,0.0
https://openalex.org/W2599615125,"""Beggar thy Neighbor:"" Testing for Free Riding in State-Level Endangered Species Expenditures",2002,0,0.0,0.0
https://openalex.org/W3124119292,Calibration of the difference between actual and hypothetical valuations in a field experiment,1998,0,0.0,0.0
https://openalex.org/W1678227038,Testing neoclassical competitive market theory in the field,2002,1,1.0,0.0
https://openalex.org/W3123058231,US county-level determinants of inbound FDI: evidence from a two-step modified count data model,2001,0,0.0,0.0
