author_id,author_name,hit_work_id,hit_year,event_time,year,eligible_prior_papers,total_citations,mean_citations,causal
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-10,1966,10,0,0.0,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-9,1967,10,0,0.0,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-8,1968,10,5,0.5,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-7,1969,10,4,0.4,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-6,1970,10,12,1.2,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-5,1971,10,7,0.7,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-4,1972,10,20,2.0,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-3,1973,10,30,3.0,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-2,1974,10,57,5.7,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,-1,1975,10,41,4.1,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,0,1976,10,71,7.1,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,1,1977,10,85,8.5,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,2,1978,10,103,10.3,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,3,1979,10,96,9.6,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,4,1980,10,87,8.7,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,5,1981,10,65,6.5,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,6,1982,10,55,5.5,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,7,1983,10,85,8.5,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,8,1984,10,69,6.9,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,9,1985,10,51,5.1,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,1976,10,1986,10,65,6.5,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2025610165,1991,-10,1981,12,0,0.0,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2025610165,1991,-9,1982,12,0,0.0,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2025610165,1991,-8,1983,12,0,0.0,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2025610165,1991,-7,1984,12,0,0.0,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2025610165,1991,-6,1985,12,1,0.08333333333333333,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2025610165,1991,-5,1986,12,0,0.0,0
